estimator,dropout,n,ate_mean,ate_std,ate_ci95,anis_mean,nis_ok
Adaptive-EKF,0.0,30,0.061948620243983,0.0013507081756144125,0.0004833447131085665,0.816145629041453,True
Adaptive-EKF,0.1,30,0.06436468917493579,0.0015107194604460734,0.0005406040160115873,0.8428639344512333,True
Adaptive-EKF,0.3,30,0.06995428444617072,0.0021859808830367727,0.0007822432127440111,0.946322744242962,True
Adaptive-EKF,0.5,30,0.07807853227599557,0.002566404251062607,0.0009183759666563058,1.1934813639478563,True
Adaptive-EKF,0.7,30,0.08370278781358373,0.0036420785540748147,0.001303301072444749,1.173899260164294,True
ChiGate-EKF,0.0,30,0.03694172947200202,0.0010853660188293764,0.00038839324175278517,0.030213396266078597,False
ChiGate-EKF,0.1,30,0.03843388213760975,0.0012479076906534033,0.00044655803201196453,0.029622023451143734,False
ChiGate-EKF,0.3,30,0.042052892886046966,0.0015429677604156913,0.0005521439219501619,0.028147925317381875,False
ChiGate-EKF,0.5,30,0.04719104859980908,0.0018641980848449447,0.0006670947172486371,0.02638659141301885,False
ChiGate-EKF,0.7,30,0.055679297228251316,0.002484465737285078,0.0008890546460710308,0.02279876854943437,False
EKF-Fixed,0.0,30,0.03694172947200201,0.0010853660188293761,0.00038839324175278506,0.030213396266078597,False
EKF-Fixed,0.1,30,0.03843388213760976,0.0012479076906534033,0.00044655803201196453,0.02962202345114373,False
EKF-Fixed,0.3,30,0.042052892886046966,0.0015429677604156913,0.0005521439219501619,0.028147925317381875,False
EKF-Fixed,0.5,30,0.04719104859980907,0.0018641980848449447,0.0006670947172486371,0.02638659141301885,False
EKF-Fixed,0.7,30,0.055679297228251316,0.002484465737285078,0.0008890546460710308,0.02279876854943437,False
Huber-EKF,0.0,30,0.061948620243983,0.0013507081756144125,0.0004833447131085665,0.816145629041453,True
Huber-EKF,0.1,30,0.06436468917493579,0.0015107194604460734,0.0005406040160115873,0.8428639344512333,True
Huber-EKF,0.3,30,0.06995428444617072,0.0021859808830367727,0.0007822432127440111,0.946322744242962,True
Huber-EKF,0.5,30,0.07807853227599557,0.002566404251062607,0.0009183759666563058,1.1934813639478563,True
Huber-EKF,0.7,30,0.08370278781358374,0.0036420785540748147,0.001303301072444749,1.173899260164294,True
MACE-EKF,0.0,30,0.06294606177264483,0.0014320459414543885,0.0005124510588052835,0.8883714835558327,True
MACE-EKF,0.1,30,0.06555577661545892,0.0015367456997094583,0.0005499173861215546,0.9354717498151098,True
MACE-EKF,0.3,30,0.07303864460428902,0.0023640430350062316,0.0008459619354947802,1.227132604513435,True
MACE-EKF,0.5,30,0.08277289039830073,0.0025726566173642066,0.0009206133472029377,1.6922330677640258,False
MACE-EKF,0.7,30,0.0844029392001867,0.003684927134862304,0.0013186342401576173,1.2472122703077162,False
Tukey-EKF,0.0,30,0.06199911910208179,0.00134553482341239,0.0004814934527985749,0.8187671193918425,True
Tukey-EKF,0.1,30,0.06442265894537104,0.0015233877067246182,0.0005451372897221034,0.8492813565514831,True
Tukey-EKF,0.3,30,0.07023027053059601,0.0021911197276077133,0.0007840821246568088,0.9688002315942884,True
Tukey-EKF,0.5,30,0.07907860970960581,0.0026777804811369877,0.0009582314387296333,1.2883621840726593,False
Tukey-EKF,0.7,30,0.0840693038336468,0.003642076933926943,0.0013033004926822787,1.210676120013334,True
