estimator,dropout,n,ate_mean,ate_std,ate_ci,rpe_mean,rpe_std,anis_mean,anis_std,anees_mean,anees_std,nis_ok,nees_ok,rt_mean,rt_std,lb,ub
Adaptive-EKF,0.0,50,0.062019489804787976,0.0013584675008184231,0.0003765479800852975,0.06213511566036425,0.007746622217429736,0.8139202204468208,0.010216627636001195,0.8274643706826271,0.042763431973121456,True,True,3226.6066340799844,2019.3162837720713,0.7294068619607659,1.312621028451283
Adaptive-EKF,0.1,50,0.06421671402141571,0.0014441680433683957,0.00040030295852237064,0.06481970750095882,0.009293037150679084,0.8415074127483224,0.015582896904903928,0.8717378236498157,0.04618065799084075,True,True,3017.3295575600014,1878.6725300411981,0.7294068619607659,1.312621028451283
Adaptive-EKF,0.3,50,0.06985441526878827,0.0022116714086101567,0.0006130440375075809,0.06921167386933988,0.009448654836025694,0.9472870446358221,0.029283299678857917,1.0491084014645444,0.08530913268417034,True,True,2638.6908278000146,1643.5734674430537,0.7294068619607659,1.312621028451283
Adaptive-EKF,0.5,50,0.0783066095687903,0.002411205489133361,0.0006683520628625669,0.07750290877272409,0.010888038410115075,1.2000079684234657,0.06299404101740451,1.5409424725653926,0.1800671034094453,True,False,2231.749946459986,1395.2857777796178,0.7294068619607659,1.312621028451283
Adaptive-EKF,0.7,50,0.08408791423993377,0.0032388202461494414,0.0008977551695658489,0.0828096690128448,0.011997388670304927,1.1931987378690554,0.13380787427958296,1.786058151290207,0.23373016493676044,True,False,1877.6630507399796,1175.2511063381742,0.7294068619607659,1.312621028451283
Adaptive-UKF,0.0,15,0.03719839341469386,0.001193867927179906,0.0006041805316730888,0.03780672894212982,0.004683820099738425,0.7901020127622257,0.00641818499507605,0.5491530610648577,0.03608836651954031,True,False,791.0437955333691,39.82500196680415,0.7294068619607659,1.312621028451283
Adaptive-UKF,0.1,15,0.03793591100207751,0.001071246328070609,0.0005421254406049665,0.03801378025764124,0.0034466047412051288,0.784641418670487,0.010469966340434225,0.5296988289460167,0.02206569157651062,True,False,785.5935524666924,29.248437289751138,0.7294068619607659,1.312621028451283
Adaptive-UKF,0.3,15,0.04031670520189352,0.0014113523783810453,0.0007142428495944022,0.03980753307386363,0.0047981922707394115,0.7610819025627092,0.012608178432669518,0.5069421939875569,0.03679817952577484,True,False,697.5602986000316,28.308245519494132,0.7294068619607659,1.312621028451283
Adaptive-UKF,0.5,15,0.04399539099906924,0.0018831863313858606,0.000953023775103683,0.042930135116089986,0.004070055086817079,0.7520171442433424,0.020380353289059995,0.49580757790779356,0.03267858060001481,True,False,647.5102201333206,29.075440614233067,0.7294068619607659,1.312621028451283
Adaptive-UKF,0.7,15,0.050147071711050234,0.002083765805109959,0.001054530994050082,0.0482534212250314,0.009419928126815382,0.7112006478733688,0.017506277665383943,0.4818280973319423,0.048972894311881725,False,False,612.7748755333718,26.932411871346225,0.7294068619607659,1.312621028451283
