estimator,trajectory,noise_regime,n,ate_mean,ate_std,ate_ci,rpe_mean,rpe_std,anis_mean,anis_std,anees_mean,anees_std,nis_ok,nees_ok,rt_mean,rt_std,lb,ub
Adaptive-EKF,circle,high,50,0.13151895596457897,0.003368835753003576,0.0009337936294157869,0.13374895834026224,0.016448557495766347,1.07654271725432,0.012285155098669405,0.8580375586833761,0.046762706473250135,True,True,3162.6918347000105,1978.0129782923002,0.7294068619607659,1.312621028451283
Adaptive-EKF,circle,low,50,0.03337385103863109,0.0008560360385920608,0.00023728108402877796,0.03353655684383263,0.004992938393440685,0.5296901400198523,0.01134315045984384,0.836675695679765,0.04737424903445988,False,True,3226.4356666799886,2018.2964494144883,0.7294068619607659,1.312621028451283
Adaptive-EKF,circle,medium,50,0.062109824466524764,0.0014080336477918563,0.0003902870150730414,0.06357159341236557,0.008569041477939203,0.8139201206359806,0.010216687988403146,0.8294449665933189,0.044188216759234754,True,True,3234.5067716200037,2028.573904338969,0.7294068619607659,1.312621028451283
Adaptive-EKF,figure8,high,50,0.13112873579813158,0.0031861504587115774,0.0008831558493323494,0.13136068292409103,0.01495130534007795,1.0765424245239616,0.012284717922496611,0.8549790047055607,0.04583617185761963,True,True,3312.9164751399867,2070.1440388355554,0.7294068619607659,1.312621028451283
Adaptive-EKF,figure8,low,50,0.03335237131077769,0.0008432058755582178,0.00023372474427707393,0.0332205144490817,0.004667641331254203,0.5296912674034564,0.011343774729409917,0.8357815365968675,0.047060960784835,False,True,3367.4937396199903,2103.8137970080734,0.7294068619607659,1.312621028451283
Adaptive-EKF,figure8,medium,50,0.062019489804787976,0.0013584675008184231,0.0003765479800852975,0.06213511566036425,0.0077466222174297356,0.8139202204468209,0.010216627636001195,0.8274643706826271,0.042763431973121456,True,True,3334.5203996000014,2083.1815736792187,0.7294068619607659,1.312621028451283
Adaptive-EKF,straight,high,50,0.1312476027225146,0.003168859232462968,0.0008783629659448639,0.12977252503847247,0.01759451852214898,1.0764696518670143,0.012286726244327665,0.8555261585192777,0.04591270249595399,True,True,3243.049154799988,2016.8239817451517,0.7294068619607659,1.312621028451283
Adaptive-EKF,straight,low,50,0.033422607515585685,0.0008449675371881075,0.00023421305196785717,0.03316087967190292,0.004444653077936371,0.5307893237121782,0.011276536563805615,0.8353809391760071,0.046927859157008874,False,True,3197.577011699996,1989.1709368700103,0.7294068619607659,1.312621028451283
Adaptive-EKF,straight,medium,50,0.0620895810958562,0.001358205390109938,0.00037647532670361607,0.0615258869347409,0.008683253313362721,0.8137825786024504,0.010207239385060475,0.827269737958628,0.04297592229025249,True,True,3236.078534019998,2018.2679496271685,0.7294068619607659,1.312621028451283
Adaptive-UKF,circle,high,25,0.06459412809579511,0.003455299596464621,0.0013544774418141315,0.06337511646890097,0.008956616362117404,1.0504231440205978,0.008096627359068334,0.7015331677750142,0.05214221514026036,True,False,5840.985317559988,6358.430185107337,0.7294068619607659,1.312621028451283
Adaptive-UKF,circle,low,25,0.02415934688685887,0.0006039515066054772,0.00023674899058934704,0.025131142707467403,0.003499626188399909,0.6527367794217181,0.005174095359457424,0.5631974406350646,0.030267486972002267,False,False,5975.957320639983,6446.702141859093,0.7294068619607659,1.312621028451283
Adaptive-UKF,circle,medium,25,0.0371982624440028,0.0011564981169710203,0.00045334726185263993,0.03855164171217543,0.004766218610752266,0.7896662077151609,0.008085991620680176,0.5500734158923375,0.03315486729370993,True,False,5808.552456200004,6279.038770415388,0.7294068619607659,1.312621028451283
Adaptive-UKF,figure8,high,25,0.0635810931072212,0.00292432408188909,0.0011463350401005232,0.06289174797525222,0.009059703896437864,1.0500915308858818,0.007929899838511788,0.6878016961458409,0.0497389292921602,True,False,6190.576014679973,6382.561552024473,0.7294068619607659,1.312621028451283
Adaptive-UKF,figure8,low,25,0.024113696146231392,0.0005698602994577612,0.00022338523738744238,0.02407021964619086,0.0037248165713824285,0.6527361540293275,0.005177406532560927,0.5609774853531416,0.02917442678877513,False,False,6046.070980080013,6492.458225986036,0.7294068619607659,1.312621028451283
Adaptive-UKF,figure8,medium,25,0.036999800117670914,0.001077883429573433,0.0004225303043927858,0.03685794768350498,0.004981722719720379,0.7896830848906492,0.008055026798494907,0.5452695357112425,0.031486405729329967,True,False,5977.8454633599995,6211.645403568229,0.7294068619607659,1.312621028451283
Adaptive-UKF,straight,high,25,0.0678050017359129,0.0030839191078246226,0.001208896290267252,0.06264400665264619,0.01111743189595675,1.0498950528782829,0.0076416368971662,0.7371219800545891,0.05280550756689281,True,True,5908.458755200018,6384.542147432395,0.7294068619607659,1.312621028451283
Adaptive-UKF,straight,low,25,0.024762508070631708,0.000537526256600506,0.00021071029258739834,0.024400914635300093,0.003421039740879034,0.6543163800921117,0.005006675352839735,0.5639760289589265,0.028841988051189198,False,False,5936.27587676001,6486.688886237604,0.7294068619607659,1.312621028451283
Adaptive-UKF,straight,medium,25,0.03800858667765617,0.0010385245147765006,0.0004071016097923882,0.03744222438363383,0.004806331266413458,0.7888035564514394,0.007986019103762641,0.5589946260237276,0.03205071643214764,True,False,5899.758486279998,6383.369909755741,0.7294068619607659,1.312621028451283
EKF,circle,high,50,0.11149081417711783,0.0034059948335633844,0.000944093601051614,0.11253802121519522,0.013865762291641015,0.271327931989545,0.008137025594480011,0.17247040207644748,0.00845187703977345,False,False,2088.30500135999,1306.6258220099244,0.7294068619607659,1.312621028451283
EKF,circle,low,50,0.014867951658783123,0.00045447941282912634,0.000125975266090693,0.015117288260559152,0.0019160799454175253,0.004823628855087802,0.0001446498393754726,0.0030664235382407003,0.00015030704437838483,False,False,2005.6065161599927,1249.347057429245,0.7294068619607659,1.312621028451283
EKF,circle,medium,50,0.03716475111867271,0.0011356165395496455,0.0003147768451297169,0.037733926142281604,0.004783588544592305,0.03014756552773468,0.000904097798381616,0.01916384798710385,0.000939192150518588,False,False,2001.8167702200053,1249.1181553289773,0.7294068619607659,1.312621028451283
EKF,figure8,high,50,0.11102897061388545,0.0032204593778123953,0.000892665796518086,0.1113807522817254,0.012431337251863388,0.27132823386833027,0.00813732435884969,0.17129363471690703,0.007953613383854936,False,False,2062.606816779994,1283.9138762010714,0.7294068619607659,1.312621028451283
EKF,figure8,low,50,0.014821477136128119,0.0004294915918851675,0.00011904899549716599,0.015060358651437488,0.0016898428665824174,0.004824248005261755,0.00014468216450973204,0.0030468010340862733,0.0001412041384027691,False,False,2191.8058026199956,1375.3733424550267,0.7294068619607659,1.312621028451283
EKF,figure8,medium,50,0.03701632501492121,0.0010736952617001663,0.0002976131425866125,0.03731347288775963,0.004163160196877214,0.030148189017475357,0.0009041827867368791,0.01903413777253292,0.0008832821725696013,False,False,2054.0890549800115,1276.1241380684055,0.7294068619607659,1.312621028451283
EKF,straight,high,50,0.11129653203402075,0.003198513419001943,0.0008865826870906375,0.10893929880738411,0.014267251283001017,0.27156342709465525,0.008138190964221243,0.17197208684620818,0.007918820230145009,False,False,1963.588406560008,1222.0142784763832,0.7294068619607659,1.312621028451283
EKF,straight,low,50,0.01663929303558335,0.0005010371280067206,0.0001388804063291955,0.014674220146207381,0.0018857779863324796,0.005056813867349412,0.00014484821957263443,0.0036946881460912973,0.0001857427875466939,False,False,2111.4006351200046,1314.8609082064636,0.7294068619607659,1.312621028451283
EKF,straight,medium,50,0.03778630667761701,0.0010898639876054622,0.0003020948847530788,0.03643208821503798,0.004761861870305493,0.030381338076077107,0.000904523480886383,0.01968771672321001,0.000915701215004312,False,False,2019.882000260001,1253.1894334815365,0.7294068619607659,1.312621028451283
ES-EKF,circle,high,50,0.11149081417711783,0.0034059948335633844,0.000944093601051614,0.11253802121519522,0.013865762291641014,0.271327931989545,0.008137025594480011,0.17247040207644748,0.00845187703977345,False,False,2015.467160239997,1254.564555964767,0.7294068619607659,1.312621028451283
